"year","team_name","rank","batting_avg","games_played","home_game_ratio","runs_scored_pg","at_bats_pg","hits_pg","doubles_pg","triples_pg","homeruns_pg","walks_pg","strikeouts_by_batters_pg","stolen_bases_pg","batters_hit_by_pitch_pg","earned_run_average","opponents_runs_scored_pg","complete_games_pg","shutouts_pg","saves_pg","outs_pitches_pg","hits_allowed_pg","homeruns_allowed_pg","walks_allowed_pg","strikeouts_by_pitchers_pg","errors_pg","double_plays_pg","fielding_percentage_pg"
1901,"Baltimore Orioles",5,0.293745914142515,134,0.492537313432836,5.67164179104478,34.2462686567164,10.0597014925373,1.33582089552239,0.828358208955224,0.17910447761194,2.75373134328358,2.78358208955224,1.54477611940298,0.388059701492537,3.73,5.59701492537313,0.858208955223881,0.0298507462686567,0.0223880597014925,25.9253731343284,9.79850746268657,0.156716417910448,2.56716417910448,2.02238805970149,2.99253731343284,0.567164179104478,0.00691044776119403
1901,"Boston Americans",2,0.278051787916153,138,0.5,5.5,35.2608695652174,9.80434782608696,1.32608695652174,0.753623188405797,0.268115942028986,2.39855072463768,2.03623188405797,1.13768115942029,0.340579710144928,3.04,4.40579710144928,0.891304347826087,0.0507246376811594,0.0072463768115942,26.4565217391304,8.53623188405797,0.239130434782609,2.1304347826087,2.8695652173913,2.44202898550725,0.753623188405797,0.00683333333333333
1901,"Brooklyn Superbas",3,0.286739085878254,137,0.496350364963504,5.43065693430657,35.6131386861314,10.2116788321168,1.5036496350365,0.678832116788321,0.233576642335766,2.27737226277372,3.25547445255474,1.2992700729927,0.299270072992701,3.14,4.37956204379562,0.81021897810219,0.0510948905109489,0.0364963503649635,26.5766423357664,9.08029197080292,0.131386861313869,3.17518248175182,4.25547445255474,2.05109489051095,0.722627737226277,0.00693430656934307
1901,"Boston Beaneaters",5,0.248630425621576,140,0.5,3.79285714285714,33.9,8.42857142857143,0.964285714285714,0.257142857142857,0.2,2.16428571428571,3.7,1.12857142857143,0.242857142857143,2.9,3.97142857142857,0.914285714285714,0.0785714285714286,0,27.0642857142857,8.54285714285714,0.207142857142857,2.49285714285714,3.98571428571429,2.01428571428571,0.635714285714286,0.0068
1901,"Chicago White Sox",1,0.275767195767196,137,0.518248175182482,5.97810218978102,34.4890510948905,9.51094890510949,1.26277372262774,0.64963503649635,0.233576642335766,3.46715328467153,2.45255474452555,2.04379562043796,0.452554744525547,2.98,4.60583941605839,0.802919708029197,0.0802919708029197,0.0145985401459854,26.6788321167883,9.12408759124088,0.197080291970803,2.27737226277372,2.87591240875912,2.51824817518248,0.72992700729927,0.00686861313868613
1901,"Chicago Orphans",6,0.258051197357556,140,0.5,4.12857142857143,34.6,8.92857142857143,1.09285714285714,0.435714285714286,0.128571428571429,2.24285714285714,3.78571428571429,1.45714285714286,0.371428571428571,3.33,4.99285714285714,0.935714285714286,0.0142857142857143,0,26.6071428571429,9.62857142857143,0.192857142857143,2.31428571428571,4.18571428571429,2.4,0.621428571428571,0.00673571428571428
1901,"Cincinnati Reds",8,0.250712250712251,142,0.507042253521127,3.95070422535211,34.6056338028169,8.67605633802817,1.21830985915493,0.492957746478873,0.267605633802817,2.27464788732394,4.13380281690141,0.964788732394366,0.295774647887324,4.17,5.76056338028169,0.887323943661972,0.028169014084507,0,26.7394366197183,10.3450704225352,0.359154929577465,2.57042253521127,3.8169014084507,2.5,0.71830985915493,0.00661971830985915
1901,"Cleveland Blues",7,0.271260086902545,138,0.5,4.82608695652174,35.0217391304348,9.5,1.42753623188406,0.492753623188406,0.0869565217391304,1.76086956521739,2.33333333333333,0.905797101449275,0.347826086956522,4.12,6.02173913043478,0.884057971014493,0.0507246376811594,0.0289855072463768,25.7028985507246,9.89130434782609,0.159420289855072,3.36231884057971,2.42028985507246,2.38405797101449,0.717391304347826,0.00682608695652174
1901,"Detroit Tigers",3,0.278656971770744,135,0.518518518518518,5.48888888888889,34.637037037037,9.65185185185185,1.33333333333333,0.592592592592593,0.214814814814815,2.81481481481481,2.57777777777778,1.51111111111111,0.4,3.3,5.14074074074074,0.874074074074074,0.0592592592592593,0.0148148148148148,26.4148148148148,9.83703703703704,0.162962962962963,2.31851851851852,2.27407407407407,3.03703703703704,0.940740740740741,0.00688888888888889
1901,"Milwaukee Brewers",8,0.260688216892596,139,0.503597122302158,4.61151079136691,34.4964028776978,8.99280575539568,1.38129496402878,0.474820143884892,0.18705035971223,2.33812949640288,2.7841726618705,1.26618705035971,0.330935251798561,4.06,5.9568345323741,0.76978417266187,0.0215827338129496,0.0215827338129496,26.2877697841727,9.94964028776978,0.23021582733813,2.84172661870504,2.70503597122302,2.8273381294964,0.762589928057554,0.00671942446043166
